Category,Message
spam,Congratulations! You won a $1000 Amazon gift card. Claim now!
ham,"Hey, can you send me the report by tomorrow?"
spam,Limited time offer! Get 50% off on all products.
ham,Don’t forget the meeting at 3 PM today.
spam,Your account is suspended. Click here to verify your details.
ham,"Mom, I’ll be home late tonight. Please save some dinner."
spam,Work from home and earn $5000 weekly! Join now.
ham,Can you pick up groceries after work?
spam,Get cheap prescription drugs online without prescription.
ham,The project deadline has been extended to next week.
spam,You’ve been selected for a free iPhone. Claim yours now!
ham,Lunch tomorrow at our usual place?
spam,Increase your credit score fast with our secret formula.
ham,Thanks for your help with the presentation.
spam,Important security alert: Your computer is infected.
ham,Happy birthday! Hope you have a wonderful day.
spam,Earn money from home without any investment.
ham,Are we still on for the conference call?
spam,Urgent: Update your bank details immediately.
ham,Can you review my draft and provide feedback?
spam,Exclusive deal: Buy one get one free! Limited stock.
ham,Don’t forget to submit your timesheet today.
spam,Your Netflix subscription will expire soon.
ham,Family dinner is at 7 PM on Saturday.
spam,This is not a scam! Claim your prize now.
ham,Please find the attached minutes from the meeting.
spam,Get rich quick with this proven method!
ham,Can you send me the photos from last weekend?
spam,You won’t believe these weight loss secrets.
ham,We need to reschedule our appointment.
spam,Free access to premium content for 24 hours.
ham,Thanks for the birthday wishes.
spam,Congratulations! Your loan has been approved.
ham,See you at the gym tomorrow.
spam,Cheap luxury watches available now!
ham,Please review the attached contract.
spam,Last chance to claim your vacation voucher.
ham,Good luck on your presentation!
spam,Limited offer: Save 70% on all electronics.
ham,Can you help me with the budget spreadsheet?
spam,You have an important voicemail. Listen now.
ham,Looking forward to our trip next month.
spam,Get your diploma online without studying.
ham,Please confirm your attendance for the event.
spam,Lowest prices on all designer handbags.
ham,The team meeting has been moved to Thursday.
spam,Earn $1000 daily from your smartphone.
ham,Happy anniversary! Let’s celebrate soon.
